"term","contrast","estimate","std.error","statistic","p.value","conf.low","conf.high"
"age_cat","35-54 - 18-34",0.00366713642129247,0.00347217338975473,1.05615014276448,0.290899624778731,-0.00313819837070514,0.0104724712132901
"age_cat","55-64 - 18-34",0.00492690608444147,0.0034748406178451,1.41787973213484,0.156225880649344,-0.00188365637855182,0.0117374685474348
"age_cat","65-74 - 18-34",0.0030884338826286,0.00427496242332301,0.722447024511597,0.470019684362269,-0.00529033850234657,0.0114672062676038
"age_cat","75+ - 18-34",0.00400067748613918,0.00381448455975001,1.04881208023591,0.294264616460445,-0.00347557487055496,0.0114769298428333
"cancer_ever","1 - 0",0.0154653927178104,0.00420193118499629,3.68054402533582,0.000232736869715,0.00722975892970191,0.0237010265059188
"education","College+ - Less than HS",-0.0043909259488217,0.00464010891586113,-0.946298034904385,0.3439965953844,-0.0134853723082527,0.0047035204106093
"education","HS - Less than HS",-0.0061030220693692,0.00409958719418016,-1.48869185610521,0.136568530512297,-0.0141380653214439,0.00193202118270553
"education","Some college - Less than HS",-0.0084557006582329,0.00395540483419602,-2.13775858924226,0.0325363415690883,-0.0162081516775327,-0.000703249638933072
"income_pct_fpl","Low Income - High Income",-0.00356336883278331,0.00328690134114435,-1.0841118923097,0.278315190603197,-0.0100055770821626,0.00287883941659603
"income_pct_fpl","Middle Income - High Income",-0.00232657538599812,0.00252080426679993,-0.922949638192903,0.356033450885306,-0.00726726096100087,0.00261411018900463
"income_pct_fpl","Near Poor - High Income",0.00277851470236115,0.00605938610222014,0.458547228298112,0.646559339958121,-0.00909766382641286,0.0146546932311352
"income_pct_fpl","Poor/Negative - High Income",-0.00689408616040101,0.00291338222967102,-2.36635141458232,0.017964383645488,-0.0126042104037552,-0.00118396191704681
"insurance_status","Medicaid/Public Only - Private",0.00242594316109035,0.00458628496136176,0.528956046457707,0.596835940926897,-0.00656301018601637,0.0114148965081971
"insurance_status","Medicare/Other Public - Private",0.000752934046265435,0.00289477766919952,0.260100820272543,0.794786005211103,-0.00492072592861643,0.0064265940211473
"insurance_status","Uninsured - Private",-0.00633686392070874,0.003130875763862,-2.02399085707958,0.0429710924851619,-0.0124732676579476,-0.000200460183469894
"mental_health_cat","Not observed - No SPD",0.00213664832026843,0.00195393415876907,1.09351091011914,0.274169541431471,-0.0016929922590815,0.00596628889961837
"mental_health_cat","SPD - No SPD",0.0193889070991212,0.00935915250489662,2.07165201004867,0.0382979058117626,0.00104530526370595,0.0377325089345364
"n_chronic_conditions_cat","1 - 0",0.00136680446713261,0.00196733806101566,0.694748144315869,0.48721315072061,-0.00248910727787295,0.00522271621213816
"n_chronic_conditions_cat","2-3 - 0",0.0104983350113116,0.00224871675899864,4.66858930512284,3.0327494471262e-06,0.00609093115224258,0.0149057388703805
"n_chronic_conditions_cat","4+ - 0",0.033651759239273,0.00825704646297692,4.07552014999084,4.59116062914407e-05,0.0174682455531644,0.0498352729253817
"race_ethnicity","Asian Non-Hispanic - White Non-Hispanic",-0.00133373844866231,0.00540526044586,-0.246748230177114,0.80510307806196,-0.0119278542496068,0.0092603773522822
"race_ethnicity","Black Non-Hispanic - White Non-Hispanic",0.000396976393522221,0.00340422087982897,0.116612995318378,0.907166739214927,-0.00627517392636182,0.00706912671340626
"race_ethnicity","Hispanic - White Non-Hispanic",-0.00388511055599034,0.00244650613649906,-1.58802403886463,0.112280903416984,-0.00868017447148473,0.000909953359504052
"race_ethnicity","Other/Multiple Non-Hispanic - White Non-Hispanic",0.00409671363554331,0.00468797995005954,0.873876099980179,0.382185731601703,-0.00509155822681927,0.0132849854979059
"sex","Female - Male",0.00143424596529823,0.00193339367904713,0.741828206454617,0.458191428497022,-0.00235513601357154,0.00522362794416799
