"term","contrast","insurance_status","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high"
"n_chronic_conditions_cat","1 - 0","Private",0.000266471636729098,0.00221692986987561,0.120198496285338,0.90432590893108,0.145085297398038,-0.00407863106447817,0.00461157433793636
"n_chronic_conditions_cat","2-3 - 0","Private",0.0107875938067208,0.00339805974296901,3.17463335629739,0.00150025934938498,9.38057236412155,0.00412751909318607,0.0174476685202554
"n_chronic_conditions_cat","4+ - 0","Private",0.0309981963898215,0.0128559595758634,2.41119273959289,0.0159004431970274,5.9747892111052,0.00580097863442641,0.0561954141452166
"n_chronic_conditions_cat","1 - 0","Medicare/Other Public",-0.00327938266467934,0.00642233033447488,-0.510621922867423,0.609615821855924,0.714027748130825,-0.0158669188170692,0.0093081534877105
"n_chronic_conditions_cat","2-3 - 0","Medicare/Other Public",0.00999223878190921,0.00665264906588203,1.50199397006438,0.133098666119298,2.90943198188486,-0.0030467137890036,0.023031191352822
"n_chronic_conditions_cat","4+ - 0","Medicare/Other Public",0.0464051691291769,0.0165134006471442,2.81015219825131,0.00495180770830903,7.65782899265743,0.0140394985984939,0.07877083965986
"n_chronic_conditions_cat","1 - 0","Medicaid/Public Only",0.0136924918427334,0.00773543142010846,1.77010060578385,0.0767103826653428,3.70443433165462,-0.0014686751455587,0.0288536588310255
"n_chronic_conditions_cat","2-3 - 0","Medicaid/Public Only",0.013241667686204,0.00519349346300369,2.54966484131196,0.0107826523004209,6.53514409609877,0.00306260754477256,0.0234207278276354
"n_chronic_conditions_cat","4+ - 0","Medicaid/Public Only",0.0332582041931873,0.0143841704786799,2.31213918400664,0.0207700144176405,5.58935397213568,0.00506574810749049,0.0614506602788842
"n_chronic_conditions_cat","1 - 0","Uninsured",-0.00277071067593156,0.001959038357821,-1.41432180991768,0.157267436086389,2.66870811873121,-0.00661035530159321,0.00106893394973009
"n_chronic_conditions_cat","2-3 - 0","Uninsured",0.00186312375462326,0.00510430337336106,0.365010387969247,0.71510365198439,0.483775723813409,-0.00814112702333072,0.0118673745325772
"n_chronic_conditions_cat","4+ - 0","Uninsured",-0.00277071239408309,0.00195903827372899,-1.41432274766592,0.15726716087585,2.66871064338118,-0.00661035685492744,0.00106893206676126
